Description,Original_Price,Sale_Price,Rating,Review_count,URL
FIFA 23 | Standard Edition | PS4 (PlayStation 4),"₹4,299","₹3,299",4.7,(84),http://amazon.in/sspa/click?ie=UTF8&spc=MToxMTUxNTE1MjExMTQ3ODE2OjE2NzE1MzU2MTk6c3BfYXRmOjIwMTAzMjMyNzMzNDk4OjowOjo&url=%2FFIFA-23-Standard-PS4-PlayStation%2Fdp%2FB0B7BD84V6%2Fref%3Dsr_1_1_sspa%3Fcrid%3D13LMAMNW5PMHP%26keywords%3Dgames%2Bps4%26qid%3D1671535619%26sprefix%3Dvideo%2Bgames%252Caps%252C229%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Ghost of Tsushima | PS4 Game (PlayStation 4),"₹3,999","₹1,189",4.7,"(1,986)",http://amazon.in/PS4-Ghost-of-Tsushima/dp/B085LZSG6F/ref=sr_1_2?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-2
God of War | PS4 Game (PlayStation 4),"₹1,499",₹899,4.7,"(3,505)",http://amazon.in/PS4-God-of-War/dp/B07YQ73Y8T/ref=sr_1_4?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-4
Sony The Last of Us Part II (PS4),"₹2,499","₹1,099",4.7,"(5,126)",http://amazon.in/PS4-Last-Us-Part-II/dp/B07YQ8JMSH/ref=sr_1_5?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-5
Horizon Forbidden West | Standard Edition | PS4 Game (PlayStation 4),"₹3,999","₹2,187",4.7,(416),http://amazon.in/PS4-Horizon-Forbidden-West-standard/dp/B09FJYNS3W/ref=sr_1_6?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-6
Cricket 22 | International Edition | PS4 (PlayStation 4),"₹3,999","₹2,148",4.1,(240),http://amazon.in/Cricket-22-International-Edition-PS4/dp/B09HXVG7ND/ref=sr_1_7?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-7
FIFA 23 | Standard Edition | PS4 (PlayStation 4),"₹4,299","₹3,299",4.7,(84),http://amazon.in/FIFA-23-Standard-PS4-PlayStation/dp/B0B7BD84V6/ref=sr_1_8?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-8
Marvel's Spider-Man: Miles Morales (PS4),"₹3,999","₹1,998",4.5,"(1,507)",http://amazon.in/PS4-Marvels-Spider-Man-Miles-Morales/dp/B08LFBM5JV/ref=sr_1_9?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-9
WWE 2K22 (PS4),"₹3,999","₹2,099",4.3,(246),http://amazon.in/2K-GAMES-maroon-1-PS4/dp/B098TZC9N8/ref=sr_1_10?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-10
Uncharted Collection Hits (PS4),"₹1,499",₹885,4.6,"(2,185)",http://amazon.in/Sony-Uncharted-Collection-Hits-PS4/dp/B07M5V17R9/ref=sr_1_11?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-11
Days Gone | PS4 Game (PlayStation 4),"₹2,499","₹1,175",4.4,"(2,650)",http://amazon.in/Sony-GVS09Z0-Days-Gone-PS4/dp/B01GVS09Z0/ref=sr_1_12?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-12
Bandai Tekken 7 PS4 - PlayStation 4 Standard Edition (PS4),"₹1,799","₹1,293",4.4,"(2,903)",http://amazon.in/Namco-722674120678-Tekken-PS4-PlayStation/dp/B071VJFGN4/ref=sr_1_14?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-14
Need for Speed Heat (PS4),"₹1,999","₹1,699",4.4,(582),http://amazon.in/Need-for-Speed-Heat-PS4/dp/B07WQ4KTT6/ref=sr_1_15?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-15
Marvel's Spider Man (PS4),"₹2,499","₹1,187",4.6,"(3,326)",http://amazon.in/Sony-195229-Marvels-Spider-Man/dp/B07CR4GQD3/ref=sr_1_16?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-16
PS4 watch dogs legion (PS4),"₹2,499","₹1,063.51",4.2,"(4,811)",http://amazon.in/UBI-Soft-E3_2019_Placeholder15-watch-legion/dp/B07SH36GRX/ref=sr_1_17?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535619&sprefix=video+games%2Caps%2C229&sr=8-17
Red Dead Redemption - 2 (PS4),"₹2,799","₹2,002",4.6,"(3,213)",http://amazon.in/Red-Dead-Redemption-2-PS4/dp/B07BFGGNT9/ref=sr_1_17?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-17
Division 2 (PS4),"₹1,499",₹499,3.7,(139),http://amazon.in/Tom-Clancys-Division-2-PS4/dp/B07Y8NNJ7X/ref=sr_1_18?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-18
Grand Theft Auto PS4,"₹2,290","₹1,570",4.5,"(3,966)",http://amazon.in/GRAND-THEFT-AUTO-PREMIUM-PS4/dp/B07H3TF8L7/ref=sr_1_19?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-19
Uncharted: The Lost Legacy (PS4),"₹2,199","₹1,890",4.6,"(3,536)",http://amazon.in/Uncharted-The-Lost-Legacy-PS4/dp/B01LTI9IEA/ref=sr_1_20?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-20
Far Cry 6 Yara Edition (PS4),"₹3,999","₹2,344.33",4.3,(130),http://amazon.in/Far-Cry-6-Yara-PS4/dp/B08D6WJQFG/ref=sr_1_22?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-22
Marvel's Guardians of the Galaxy (PS4),"₹3,999","₹1,649",4.4,(56),http://amazon.in/Square-Enix-Marvels-Guardians-Galaxy/dp/B097J92M1F/ref=sr_1_23?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-23
UBI Soft Far Cry 5 (PS4),"₹1,299","₹1,099",4.4,(991),http://amazon.in/UBI-Soft-Far-Cry-PS4/dp/B078G9XKR7/ref=sr_1_24?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-24
Sony Horizon: Zero Dawn - Complete Edition (Playstation 4),"₹1,499",₹784,4.5,"(2,027)",http://amazon.in/Horizon-Zero-Dawn-Complete-PS4/dp/B07D2NY7RW/ref=sr_1_25?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-25
Batman Arkham Collection (PS4),"₹1,799","₹1,699",4.5,(278),http://amazon.in/WB-Games-Batman-Arkham-Collection/dp/B0842LZBN5/ref=sr_1_26?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-26
UBI Soft Tom Clancy's Ghost Recon Breakpoint (PS4),₹999,₹789.88,4.0,"(1,718)",http://amazon.in/Tom-Clancys-Ghost-Recon-Breakpoint/dp/B07S1XKYGT/ref=sr_1_27?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-27
God of War Remastered - Hits (PS4),"₹1,499",₹799,4.7,(285),http://amazon.in/God-War-Remastered-Hits-PS4/dp/B07TW6ZD3M/ref=sr_1_28?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-28
PS4 Ghost of Tsushima Director's Cut (PS4),"₹3,999","₹2,028",4.6,(218),http://amazon.in/PS4-Ghost-Tsushima-Directors-Cut/dp/B099B7JN4V/ref=sr_1_29?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-29
Dragon Ball Z: Kakarot (PS4),"₹2,499","₹1,999",4.5,(174),http://amazon.in/Dragon-Ball-Z-Kakarot-PS4/dp/B082Z184RP/ref=sr_1_30?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-30
Elden Ring (PS4),"₹3,999","₹3,789",4.4,(95),http://amazon.in/Namco-Bandai-Games-Elden-Ring/dp/B09MG3FTNC/ref=sr_1_31?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-31
Thrustmaster T3PA Wide Pedal Set |Racing Game Wheel Add On | PC/PS3/PS4/Xbox One,"₹14,999","₹13,498.50",4.6,(760),http://amazon.in/Thrustmaster-VG-T3PA-Wide-Pedal/dp/B00KX75W9O/ref=sr_1_32?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535623&sprefix=video+games%2Caps%2C229&sr=8-32
Marvel's Avengers (Free PS5 Upgrade),"₹1,999","₹1,606",4.0,(532),http://amazon.in/Square-Enix-Marvels-Avengers-PS4/dp/B07YSTD51Q/ref=sr_1_33?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-33
Sony PS4 Gran Turismo: Sport (PS4),"₹1,499",₹849,4.2,(497),http://amazon.in/PS4-Gran-Turismo-Sport/dp/B07YQ76G6M/ref=sr_1_34?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-34
Assassin's Creed Origins (PS4),"₹1,299","₹1,160.64",4.4,(914),http://amazon.in/UBI-Soft-Assassins-Creed-Origins/dp/B074MJ7BFX/ref=sr_1_35?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-35
Marvel's Avengers - PS4 (Free PS5 Upgrade),"₹2,499","₹1,480",3.9,(34),http://amazon.in/Marvels-Avengers-PS4-Free-Upgrade/dp/B096GCXLJL/ref=sr_1_36?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-36
Infamous Second Son Hit (PS4),"₹1,499",₹899,4.5,(789),http://amazon.in/Infamous-Second-Son-Hit-PS4/dp/B07GQJ534Z/ref=sr_1_37?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-37
F1 22 | Standard Edition | PS4 Game (PlayStation 4),"₹3,999","₹3,981",4.3,(21),http://amazon.in/F1-Standard-PS4-Game-PlayStation/dp/B0B56773J9/ref=sr_1_38?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-38
Ace Combat 7 : Skies Unknown (PS4),"₹2,299","₹1,433",4.5,(128),http://amazon.in/Ace-Combat-7-Skies-PS4/dp/B07MQ6JSBC/ref=sr_1_39?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-39
Injustice 2 - Legendary Edition (PS4),"₹1,499","₹1,250",4.3,(201),http://amazon.in/Injustice-2-Legendary-Edition-PS4/dp/B07C1ZGZDG/ref=sr_1_40?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-40
Sony The Last of US Hit (PS4),"₹1,499",₹999,4.6,"(2,833)",http://amazon.in/Last-US-Hit-PS4/dp/B07FXTHTNY/ref=sr_1_41?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-41
Assassin's Creed Valhalla Drakkar Edition (Free PS5 Upgrade),"₹2,999","₹1,855",4.4,(498),http://amazon.in/Assassins-Creed-Valhalla-Drakkar-PS4/dp/B0894KKNVL/ref=sr_1_42?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-42
Naruto Shippūden: Ultimate Ninja Storm 4 (PS4),"₹1,999","₹1,349",4.5,(115),http://amazon.in/Naruto-Shipp%C5%ABden-Ultimate-Ninja-Storm/dp/B019W7VDLG/ref=sr_1_43?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-43
Mafia: Definitive Edition (PS4),"₹2,499","₹1,488",4.3,(123),http://amazon.in/2K-Games-Mafia-Definitive-Edition/dp/B089H3D212/ref=sr_1_44?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-44
Electronic Arts Sports FIFA 18 (PS4),₹999,₹449,4.4,"(3,054)",http://amazon.in/EA-Sports-FIFA-18-PS4/dp/B071ZZZ3K9/ref=sr_1_45?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-45
Grand Theft Auto V - Premium Edition (PS4),"₹2,199","₹1,693",4.5,"(2,547)",http://amazon.in/Grand-Theft-V-Premium-PS4/dp/B07D381RDJ/ref=sr_1_46?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-46
ACTIVISION Sekiro: Shadows Die Twice (PS4),"₹4,999","₹4,699",4.4,"(1,599)",http://amazon.in/Sekiro-Shadows-Die-Twice-PS4/dp/B07DNTR2NQ/ref=sr_1_47?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-47
Assassins Creed: Odyssey (PS4),"₹1,999","₹1,299",4.6,(960),http://amazon.in/UBI-Soft-Assassins-Creed-Odyssey/dp/B07DS1FFHK/ref=sr_1_48?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535625&sprefix=video+games%2Caps%2C229&sr=8-48
WB Games Mortal Kombat 11 (PS4),"₹3,499","₹1,495",4.5,(688),http://amazon.in/WB-Games-Mortal-Kombat-PS4/dp/B07MQ6JBZM/ref=sr_1_49?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-49
WB Games Hitman 2 (PS4),"₹1,499","₹1,413",4.3,(477),http://amazon.in/WB-Games-Hitman-2-PS4/dp/B07DW7VTD2/ref=sr_1_50?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-50
Marvel's Spider-Man G.O.T.Y (PS4),"₹2,999","₹1,589",4.6,"(2,745)",http://amazon.in/Marvels-Spider-Man-PS4-Game/dp/B07X23YRCS/ref=sr_1_51?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-51
Need for Speed Payback (PS4),"₹1,999","₹1,322",4.3,"(2,274)",http://amazon.in/Need-for-Speed-Payback-PS4/dp/B0721MPVYV/ref=sr_1_52?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-52
Shadow of the Tomb Raider Definitive Edition (PS4),"₹2,499","₹1,239",4.5,(142),http://amazon.in/Shadow-Tomb-Raider-Definitive-PS4/dp/B0813CSZPK/ref=sr_1_53?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-53
"Bluehole, Inc./SIEE PUBG - PLAYERUNKNOWN'S BATTLEGROUNDS (PS4)- Playstation PLUS Required","₹1,999","₹1,055",3.4,(779),http://amazon.in/PUBG-PLAYERUNKNOWNS-BATTLEGROUNDS-Playstation-Required/dp/B07KWC6B87/ref=sr_1_54?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-54
Need For Speed: Rivals Hits (PS4),"₹1,999","₹1,790",4.2,"(2,602)",http://amazon.in/Need-For-Speed-Rivals-PS4/dp/B00D781QO6/ref=sr_1_55?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-55
Mortal Kombat 11: Ultimate Edition (Free PS5 Upgrade),"₹2,499","₹1,599",4.4,(261),http://amazon.in/Mortal-Kombat-11-Ultimate-Upgrade/dp/B08LLS8T3M/ref=sr_1_56?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-56
Grand Theft Auto: The Trilogy - The Definitive Edition (PS4),"₹2,999","₹2,078",3.8,(26),http://amazon.in/Grand-Theft-Auto-Trilogy-Definitive/dp/B09MDJD84W/ref=sr_1_57?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-57
Grand Theft Auto V – Premium,"₹2,099","₹1,699",4.5,"(3,464)",http://amazon.in/Grand-Theft-Auto-V-PS4/dp/B00L8XUDIC/ref=sr_1_58?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-58
Rockstar Games Red Dead Redemption 2 (PS4),"₹2,999","₹1,922",4.6,"(12,225)",http://amazon.in/Rockstar-Games-Red-Dead-Redemption/dp/B01M65RD19/ref=sr_1_59?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-59
Call Of Duty : Modern Warfare II | Cross Gen Edition | PlayStation 4 (PS4),"₹5,999","₹5,794",4.8,(5),http://amazon.in/Call-Duty-Modern-Warfare-PlayStation/dp/B0BJF2T95T/ref=sr_1_60?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-60
ACTIVISION Call of Duty: Black Ops 4 - Standard Edition (PS4),"₹1,999",₹976,3.5,(526),http://amazon.in/Call-Duty-Black-Ops-Standard/dp/B07FX14DLX/ref=sr_1_62?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-62
Mafia: Trilogy (PS4),"₹2,999","₹1,999",4.5,(102),http://amazon.in/2K-Games-Mafia-Trilogy-PS4/dp/B089H44M8V/ref=sr_1_63?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-63
Uncharted 4 TE Hit (PS4),"₹1,999","₹1,408",4.7,"(3,052)",http://amazon.in/Uncharted-Thiefs-Playstation-Newer-Version/dp/B07GLGSHWN/ref=sr_1_64?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535628&sprefix=video+games%2Caps%2C229&sr=8-64
Square Enix Shadow of the Tomb Raider (PS4),"₹1,499","₹1,280",4.4,(560),http://amazon.in/Square-Enix-Shadow-Tomb-Raider/dp/B07CTX3PH6/ref=sr_1_65?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-65
Assassin's Creed: Syndicate (PS4),"₹1,999","₹1,122",4.4,(601),http://amazon.in/UBI-Soft-Assassins-Creed-Syndicate/dp/B00YS59W8O/ref=sr_1_67?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-67
It Takes Two (PS4),"₹2,499","₹2,490",4.0,(17),http://amazon.in/Electronic-Arts-Takes-Two-PS4/dp/B09BRNLHS2/ref=sr_1_68?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-68
Until Dawn Hits (PS4),"₹1,499",₹999,4.4,(190),http://amazon.in/Sony-Until-Dawan-Hits-PS4/dp/B07M9LBZGS/ref=sr_1_69?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-69
UBI Soft Tom Clancy's Ghost Recon: Wildlands (PS4),"₹1,299","₹1,081",4.4,(760),http://amazon.in/Tom-Clancys-Ghost-Recon-Wildlands/dp/B010UR9SLO/ref=sr_1_70?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-70
Battlefield V (PS4),"₹1,499","₹1,259",4.3,(310),http://amazon.in/Electronic-Arts-Battlefield-V-PS4/dp/B07D9QBZ88/ref=sr_1_71?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-71
PS4 Gran Turismo 7 Standard Edition (PS4),"₹3,999","₹2,399",4.1,(31),http://amazon.in/PS4-Gran-Turismo-Standard/dp/B09GVJFSBF/ref=sr_1_72?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-72
Cyberpunk 2077 (Free PS5 Upgrade),"₹3,999","₹1,786.04",4.0,(491),http://amazon.in/CD-PROJEKT-RED-Cyberpunk-2077/dp/B07DRTM3JN/ref=sr_1_73?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-73
Marvel's Spider Man (PS4) - Game of the Year Edition (PS4) + The Last of US Hit (PS4),"₹4,498","₹2,588",4.6,"(2,745)",http://amazon.in/Marvels-Spider-Man-PS4-Game/dp/B08JMRBN66/ref=sr_1_74?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-74
STAR WARS Jedi: Fallen Order (PS4),"₹3,999","₹1,714.58",4.4,(276),http://amazon.in/STAR-WARS-Jedi-Fallen-Order/dp/B07W7KV12B/ref=sr_1_75?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-75
Cricket 19 International Edition (PS4),"₹2,999","₹2,078",4.1,"(1,015)",http://amazon.in/Cricket-19-International-Edition-PS4/dp/B07QNQN449/ref=sr_1_76?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-76
Bloodborne - Game of the Year Edition (PS4),"₹1,999","₹1,399",4.5,"(1,239)",http://amazon.in/Sony-179746-Bloodborne-Game-Year/dp/B018209X7U/ref=sr_1_77?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-77
Shadow of the Colossus (PS4),"₹2,499","₹1,153",4.4,(528),http://amazon.in/Shadow-of-the-Colossus-PS4/dp/B079MVFRGH/ref=sr_1_78?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-78
Horizon Zero Dawn: Complete Edition Ps4 Playstation 4 Game,"₹1,499",₹784,4.4,"(2,130)",http://amazon.in/Horizon-Zero-Dawn-Complete-Playstation/dp/B077SBGNXH/ref=sr_1_79?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-79
The Quarry | Standard Edition | PS4 Game (PlayStation 4),"₹2,999","₹2,345",2.8,(2),http://amazon.in/Quarry-Standard-PS4-Game-PlayStation/dp/B0B41Y69FK/ref=sr_1_80?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535630&sprefix=video+games%2Caps%2C229&sr=8-80
PS4 Nioh 2 - Special Edition (PS4),"₹5,999","₹1,849",4.5,(94),http://amazon.in/PS4-Nioh-2-Special/dp/B085SC7VNS/ref=sr_1_81?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-81
