Description,Original_Price,Sale_Price,Rating,Review_count,URL
Cars 3: Driven to Win (PS4),"₹1,499",₹944,4.3,(128),http://amazon.in/Cars-3-Driven-Win-PS4/dp/B072125M4Q/ref=sr_1_82?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-82
Batman: Arkham Knight (PS4),"₹1,999","₹1,233",4.4,"(1,856)",http://amazon.in/Warner-Bros-5051892170543-Batman-Arkham/dp/B00IS6S7SU/ref=sr_1_83?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-83
WWE 2K20 (PS4),"₹2,999","₹1,898",4.1,"(1,429)",http://amazon.in/2K-Games-WWE-2K20-PS4/dp/B07W6G9SCB/ref=sr_1_84?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-84
Watch Dogs 2 (PS4),"₹1,299",₹999,4.3,"(1,137)",http://amazon.in/UBI-Soft-Watch-Dogs-PS4/dp/B01H3PRC0U/ref=sr_1_85?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-85
Battlefield 2042 (PS4),"₹3,999","₹1,415",2.8,(8),http://amazon.in/Electronic-Arts-Battlefield-2042-PS4/dp/B097SPY9D4/ref=sr_1_86?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-86
Tekken 7 (PS4),"₹1,799","₹1,293",4.4,"(1,342)",http://amazon.in/Namco-217940-Tekken-7-PS4/dp/B071WC5TKG/ref=sr_1_87?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-87
ACTIVISION Call of Duty: WWII (PS4),"₹2,999","₹1,800",4.3,"(7,463)",http://amazon.in/Call-of-Duty-WWII-PS4/dp/B071DHJC43/ref=sr_1_88?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-88
Ratchet and Clank (PS4),"₹2,499",₹840,4.3,(383),http://amazon.in/Sony-165583-Ratchet-and-Clank/dp/B01EADW29E/ref=sr_1_89?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-89
Hitman 3 (PS4),"₹3,999","₹2,244",4.2,(83),http://amazon.in/Square-Enix-Hitman-3-PS4/dp/B08P5Y3V2Q/ref=sr_1_90?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-90
F1 2021 (PS4),"₹3,999","₹2,699",4.7,(107),http://amazon.in/Electronic-Arts-F1-2021-PS4/dp/B0933GGTVH/ref=sr_1_91?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-91
"PXN Arcade Fight Stick,USB Wired PC Street Game Fighting Joystick Game Controller for PS3 / PS4 / Switch/Xbox One/PC","₹4,990","₹3,990",4.2,(112),http://amazon.in/PXN-Arcade-Fighting-Joystick-Controller/dp/B08C9Z1P53/ref=sr_1_92?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-92
Naruto Shippuden - Ultimate Ninja Storm 4: Road to Boruto (PS4),"₹2,499","₹1,427.31",4.4,(95),http://amazon.in/Naruto-Shippuden-Ultimate-Ninja-Boruto/dp/B01MZ5TD39/ref=sr_1_93?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-93
Bloodborn Hits (PS4),"₹1,499",₹915,4.3,(237),http://amazon.in/Sony-CUSA-00207-H-Bloodborn/dp/B07GQ38L35/ref=sr_1_94?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-94
Jump Force (PS4),"₹2,499","₹2,390",4.0,(100),http://amazon.in/Namco-Jump-Force-PS4/dp/B07MQ6L4Q3/ref=sr_1_95?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-95
LEGO Marvel Super Heroes (PS4),"₹1,999","₹1,455",4.5,"(1,743)",http://amazon.in/LEGO-Marvel-Super-Heroes-PS4/dp/B00DUARBTA/ref=sr_1_96?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535633&sprefix=video+games%2Caps%2C229&sr=8-96
Graphixdesign PS4 Controller Designer 3M Skin for PlayStation 4 Wireless Controller Skin for One Controller Only,₹499,₹250,5.0,(1),http://amazon.in/Graphixdesign-Controller-Designer-PlayStation-DualShock/dp/B08S5XGMXS/ref=sr_1_97?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-97
Naruto Shippuden Ultimate Ninja Storm Trilogy PS4 (PS4),"₹2,499","₹1,950",4.6,"(1,176)",http://amazon.in/Naruto-Shippuden-Ultimate-Ninja-Trilogy/dp/B0764BJRQB/ref=sr_1_99?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-99
Middle-Earth: Shadow Of War - PlayStation 4,₹999,₹975,4.2,"(1,371)",http://amazon.in/Middle-Earth-Shadow-War-PlayStation-4/dp/B06WWDVBKT/ref=sr_1_100?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-100
Just Cause 4 (PS4),"₹1,499",₹979,4.0,(401),http://amazon.in/Square-Enix-Just-Cause-PS4/dp/B07DRSBSSL/ref=sr_1_101?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-101
Big Bash Boom (PS4),"₹1,499",₹399,3.4,(386),http://amazon.in/Big-Ant-Studios-Bash-Boom/dp/B082P5L2C9/ref=sr_1_102?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-102
Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto forPlayStation 4,"₹2,499","₹1,603",4.6,"(2,781)",http://amazon.in/Naruto-Shippuden-Ultimate-Boruto-forPlayStation/dp/B01MD2BVE7/ref=sr_1_103?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-103
Dying Light 2 (PS4),"₹3,999","₹3,241.73",3.7,(20),http://amazon.in/Techland-Dying-Light-2-PS4/dp/B09DGV8JMD/ref=sr_1_104?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-104
Rockstar Grand Theft Auto V (PS4),"₹2,499","₹1,555",4.3,"(6,466)",http://amazon.in/Grand-Theft-Auto-V-PS4/dp/B00KL4AROO/ref=sr_1_105?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-105
Take 2 2K Games Ps4 Mafia Iii,"₹2,999","₹1,530",4.3,"(1,009)",http://amazon.in/Take-Games-Ps4-Mafia-Iii/dp/B012TBHIHU/ref=sr_1_106?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-106
Dishonored 2 (PS4),₹999,₹799,4.4,(211),http://amazon.in/Bethesda-Dishonored-2-PS4/dp/B01GA43S5S/ref=sr_1_107?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-107
Dragon Ball Fighter Z (PS4),"₹2,999","₹1,254",3.8,(133),http://amazon.in/Dragon-Ball-Fighter-Z-PS4/dp/B0791B6SBK/ref=sr_1_108?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-108
Borderlands 3 (PS4),"₹1,499",₹616.21,4.3,"(1,421)",http://amazon.in/2K-GAMES-225103-Borderlands-PS4/dp/B07QZ67JWM/ref=sr_1_109?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-109
Rise of the Tomb Raider - 20 Year Celebration (PS4),"₹1,999","₹1,188",4.5,"(3,375)",http://amazon.in/Rise-Tomb-Raider-Year-Celebration/dp/B01MDKLX4M/ref=sr_1_110?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-110
Sleeping Dogs - Definitive Edition,"₹2,199","₹1,299",4.3,(177),http://amazon.in/Square-Enix-Sleeping-Dogs-Definitive/dp/B00N9SWI78/ref=sr_1_111?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-111
Battlefield 1 (PS4),"₹1,499",₹899,4.3,(569),http://amazon.in/Electronic-Arts-Battlefield-1-PS4/dp/B01FH6YI9A/ref=sr_1_112?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535635&sprefix=video+games%2Caps%2C229&sr=8-112
Call of Duty: Modern Warfare Remastered (PS4),"₹2,799","₹2,459",4.6,"(2,858)",http://amazon.in/ACTIVISION-Call-Duty-Warfare-Remastered/dp/B071KK5718/ref=sr_1_113?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-113
GT Sport (PS4),"₹1,499",₹849,4.3,(454),http://amazon.in/SIEE-220427-Gran-Turismo-Sport/dp/B0743HVKTF/ref=sr_1_114?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-114
Tomb Raider Definitive (PS4),"₹1,499","₹1,164",4.3,(167),http://amazon.in/Square-Enix-Tomb-Raider-Definitive/dp/B00I3F74IA/ref=sr_1_115?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-115
PS4 Dragon Age Inquisition (PS4),"₹1,999","₹1,199",4.4,(742),http://amazon.in/81551-Dragon-Age-Inquisition-PS4/dp/B00JXFXL7W/ref=sr_1_116?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-116
LEGO DC Super Villains (PS4),"₹1,999","₹1,322",4.4,(26),http://amazon.in/LEGO-DC-Super-Villains-PS4/dp/B07DW7VXNY/ref=sr_1_117?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-117
Ride 4 (PS4),"₹3,499","₹2,480",4.0,(11),http://amazon.in/Milestones-Ride-4-PS4/dp/B08C37XMKM/ref=sr_1_118?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-118
Mad Max (PS4),"₹1,499","₹1,299",4.3,(132),http://amazon.in/Warner-Bros-Mad-Max-PS4/dp/B00I3ZX5II/ref=sr_1_119?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-119
Metal Gear Solid V: The Definitive Experience (PS4),"₹1,999","₹1,350",4.3,(232),http://amazon.in/Metal-Gear-Solid-Definitive-Experience/dp/B01LZGLB9E/ref=sr_1_120?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-120
FLAWISH ABS Metal Full Housing Shell Case Button Kit Parts for Sony PlayStation 4 PS4 Wireless Controller Red [video game],"₹4,090","₹1,894",,,http://amazon.in/Housing-Button-PlayStation-Wireless-Controller/dp/B07CMCLL43/ref=sr_1_121?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-121
Cosmic Byte Stratos Xenon PS4/iOS/Android Wireless Programmable Gamepad (Black),"₹3,499","₹2,699",4.0,(173),http://amazon.in/Cosmic-Byte-Stratos-Xenon-Programmable/dp/B0B24CFN6Z/ref=sr_1_122?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-122
WWE 2K Battlegrounds (PS4),"₹2,499",₹730.15,4.1,(90),http://amazon.in/2K-Games-WWE-Battlegrounds-PS4/dp/B08CRYFKPK/ref=sr_1_123?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-123
Assassins Creed III Remastered (PS4),"₹1,999","₹1,305",4.6,(78),http://amazon.in/Assassins-Creed-III-Remastered-PS4/dp/B07PZHD6RF/ref=sr_1_124?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-124
Capcom Devil May Cry 5 (PS4),"₹1,999","₹1,609",4.4,(319),http://amazon.in/Devil-May-Cry-5-PS4/dp/B07DRSF215/ref=sr_1_125?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-125
Sonic Forces (PS4) (PS4),"₹2,899","₹1,956",4.6,"(1,005)",http://amazon.in/SEGA-PS400931-Sonic-Forces-PS4/dp/B0795ZY4X5/ref=sr_1_126?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-126
Saints Row | Day One Edition| PlayStation4 PS4| Day 1 Edition contains base game + Idols of Anarchy Pack,"₹3,999","₹2,499",4.0,(4),http://amazon.in/Saints-PlayStation4-contains-Idols-Anarchy/dp/B0B6RHZ9HS/ref=sr_1_127?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-127
The Witcher 3: Wild Hunt - Game of the Year Edition - PS4 (Free PS5 Upgrade),"₹2,999","₹2,399",4.7,(6),http://amazon.in/Witcher-Wild-Hunt-Game-Year/dp/B08FFSH4XP/ref=sr_1_128?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535637&sprefix=video+games%2Caps%2C229&sr=8-128
Far Cry 4 (PS4),"₹1,299","₹1,044",4.5,(774),http://amazon.in/UBI-Soft-PS4-Far-Cry/dp/B00L8XUB1G/ref=sr_1_129?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-129
Call of Duty: Advanced Warfare (PS4),"₹4,299","₹2,499",4.4,"(1,684)",http://amazon.in/Call-Duty-Advanced-Warfare-PS4/dp/B00MO6ZHV0/ref=sr_1_130?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-130
eFootball PES 2020 (PS4),"₹1,999","₹1,131",4.4,(126),http://amazon.in/Konami-eFootball-PES-2020-PS4/dp/B07VS3D5DP/ref=sr_1_131?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-131
Porro Fino PS4 PS5 Accessories 2 pcs 10 in 1 Game CD Discs Storage Bracket Holder for Sony Playstation 4 ps4 pro ps4 slim Games Disk Stand,₹999,₹735,4.1,(23),http://amazon.in/Porro-Fino-Accessories-Storage-Playstation/dp/B08PFWXN2L/ref=sr_1_132?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-132
Control (PS4),"₹1,999","₹1,614.88",4.2,(87),http://amazon.in/505-Games-Control-PS4/dp/B07Q6ZKZZW/ref=sr_1_133?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-133
PS4 Marvel's Spider-Man: Miles Morales (PS4)+Assassin's Creed Valhalla Drakkar Edition (Free PS5 Upgrade),"₹7,998","₹3,975",4.8,(9),http://amazon.in/PS4-Marvels-Spider-Man-Assassins-Valhalla/dp/B08NRSVM13/ref=sr_1_134?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-134
Capcom Resident Evil 2 (PS4),"₹2,499","₹1,545",4.4,(218),http://amazon.in/Resident-Evil-2-Remake-PS4/dp/B07DWMN718/ref=sr_1_135?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-135
Call of Duty: Black Ops Cold War (PS4),"₹6,499","₹3,975",3.8,(70),http://amazon.in/Call-Duty-Black-Ops-Cold/dp/B07SKJBZQF/ref=sr_1_137?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-137
"Cosmic Byte Equinox Polaris 7.1 Surround RGB USB Gaming Headset for PC, PS4, PS5 (Black)","₹3,699","₹2,112",4.3,(161),http://amazon.in/Cosmic-Byte-Equinox-Polaris-Surround/dp/B0982FXN1Z/ref=sr_1_138?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-138
PS4 Ace Combat 7 Skies Unknown (PS4),"₹1,999","₹1,329",4.5,"(3,779)",http://amazon.in/Bandai-12084-Ace-Combat-PlayStation/dp/B01MUDTTIP/ref=sr_1_139?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-139
The Witcher 3: Wild Hunt - Game of the Year Edition (Free PS5 Upgrade),"₹2,499","₹1,799",4.4,(572),http://amazon.in/Witcher-Wild-Hunt-Game-Year/dp/B01KZ2GY7A/ref=sr_1_141?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-141
Crash Team Racing - Nitro Fueled (PS4),"₹3,999","₹2,439",4.5,"(5,076)",http://amazon.in/Crash-Team-Racing-Nitro-Fueled/dp/B07L4F8LJW/ref=sr_1_142?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-142
Sold Out Sniper Elite 4 - PlayStation 4,"₹2,099","₹1,793",4.5,"(2,643)",http://amazon.in/Sold-Out-Sniper-Elite-PlayStation/dp/B01IPARX1A/ref=sr_1_143?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-143
Mass Effect: Legendary Edition (PS4),"₹3,999","₹3,021",4.4,(35),http://amazon.in/Mass-Effect-Legendary-Edition-PS4/dp/B08VP8KCXW/ref=sr_1_144?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535640&sprefix=video+games%2Caps%2C229&sr=8-144
FLAWISH ABS Metal full Housing Shell Case Button Kit Parts for Sony PlayStation 4 PS4 Wireless Controller Green Color [video game],"₹4,116","₹1,900",,,http://amazon.in/Housing-Button-PlayStation-Wireless-Controller/dp/B07CMLZCWL/ref=sr_1_145?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-145
"Horizon Forbidden West | Standard Edition | PS4 Game (PlayStation 4)+PowerA FUSION Wired FightPad Gaming Controller for PlayStation 4, PS4, Blue (Officially Licensed)","₹9,498","₹3,186",,,http://amazon.in/Forbidden-Standard-PlayStation-Controller-Officially/dp/B0BN568XGX/ref=sr_1_146?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-146
Ace Combat 7: Skies Unknown (PS4),"₹2,299","₹1,433",4.5,"(2,855)",http://amazon.in/ACE-COMBAT-7-SKIES-UNKNOWN/dp/B073FFRVKQ/ref=sr_1_147?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-147
Sony PS4 Death Stranding (PS4),"₹3,999","₹1,480",4.5,(706),http://amazon.in/SIEE-025626-001-PS4-Death-Stranding/dp/B07V7KV81S/ref=sr_1_148?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-148
Doom (PS4),"₹1,299",₹999,4.4,(305),http://amazon.in/Bethesda-Doom-PS4/dp/B01E75FK1C/ref=sr_1_149?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-149
Jump Force(tbd),"₹2,799","₹2,390",4.6,"(3,587)",http://amazon.in/Jump-Force-Standard-PlayStation-4/dp/B07DKZ9K11/ref=sr_1_150?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-150
Cricket 19 International Edition (PS4),"₹2,999","₹2,099",3.8,(56),http://amazon.in/Cricket-19-International-Edition-PS4/dp/B07X6RTZ1Q/ref=sr_1_151?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-151
PS4 Resident Evil Village (Free PS5 Upgrade) (PS4),"₹4,999","₹2,799",4.3,(92),http://amazon.in/Resident-Evil-Village-Free-Upgrade/dp/B08WXJ41Q4/ref=sr_1_153?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-153
Watch Dogs: Legion Resistance Edition (Free PS5 Upgrade),"₹1,799","₹1,273.67",4.3,(316),http://amazon.in/UBI-Soft-Watch-Dogs-Legion/dp/B07YVW2VW3/ref=sr_1_154?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-154
Doom VFR (PS4) (PS4),"₹2,199",₹730.19,4.5,(680),http://amazon.in/Bethesda-DO4CVRP4PEUK-Doom-VFR-PS4/dp/B073V6XKS6/ref=sr_1_155?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-155
Need for Speed Heat (PS4)+Grand Theft Auto V - Premium Edition (PS4),"₹4,198","₹2,298",4.4,(2),http://amazon.in/Need-Speed-Heat-Grand-Theft/dp/B08NV181MY/ref=sr_1_156?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-156
LEGO Harry Potter Collection (PS 4),"₹1,499","₹1,274",4.1,(33),http://amazon.in/LEGO-Harry-Potter-Collection-PS/dp/B01M3SHXJN/ref=sr_1_157?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-157
WRC 8 (PS4),"₹4,599","₹1,933.32",4.0,(53),http://amazon.in/Sony-WRC-8-PS4/dp/B07WL5G7BH/ref=sr_1_158?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-158
Metal Gear Survive (PS4),"₹1,299",₹537,3.1,(8),http://amazon.in/Konami-Metal-Gear-Survive-PS4/dp/B07919QXL4/ref=sr_1_159?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-159
Prey (PS4),"₹1,299",₹996,4.0,(48),http://amazon.in/Bethesda-Prey-PS4/dp/B01HRK3YYO/ref=sr_1_160?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535643&sprefix=video+games%2Caps%2C229&sr=8-160
Dark Souls - Remastered (PS4),"₹2,499","₹1,433",4.7,"(1,252)",http://amazon.in/Namco-3391891997324-Dark-Souls-Remastered/dp/B0792KDRVW/ref=sr_1_161?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535646&sprefix=video+games%2Caps%2C229&sr=8-161
Spider-Man - PlayStation 4,"₹2,499","₹1,187",4.7,"(9,932)",http://amazon.in/Sony-3001885-Spider-Man-PlayStation-4/dp/B01GW8YDLK/ref=sr_1_162?crid=13LMAMNW5PMHP&keywords=games+ps4&qid=1671535646&sprefix=video+games%2Caps%2C229&sr=8-162
